cliente_id,idade,genero,regiao,perfil_risco,renda_mensal,produto_id,nome_produto,tipo_produto,taxa_administracao,risco_produto,data_investimento,valor_investido,rentabilidade_percentual,status_investimento,valor_final
30,39,Feminino,Sudeste,moderado,4013.01,125,Ação Beta,Cripto,0.98,Baixo,2024-04-21,31992.3,45.66,Ativo,46599.98
31,61,M,Sul,moderado,9348.63,174,Renda Fixa Gama,Cripto,0.67,Médio,2025-05-21,41840.93,49.73,Ativo,62648.42
32,42,Feminino,Nordeste,Moderado,6797.34,184,Ação Beta,Renda Fixa,1.94,Baixo,2022-03-24,44145.67,60.11,Ativo,70681.63
33,66,Feminino,Sul,Agressivo,8008.04,185,Ação Beta,FII,2.04,Médio,2022-12-21,7095.42,68.5,Ativo,11955.78
34,44,Masculino,Sudeste,moderado,8297.29,155,Renda Fixa Gama,Renda Fixa,1.42,Alto,2022-05-21,18307.18,-29.63,Ativo,12882.76
35,59,F,Nordeste,Conservador,3540.68,156,Renda Fixa Gama,FII,2.25,Alto,2024-10-06,40369.72,43.28,Resgatado,57841.73
36,45,F,Nordeste,Agressivo,5148.74,158,Ação Beta,Renda Fixa,2.42,Alto,2024-08-07,11454.63,73.53,Resgatado,19877.22
37,33,F,Norte,moderado,7702.53,106,Ação Beta,FII,1.23,Alto,2023-08-23,29516.8,53.37,Resgatado,45269.92
38,32,Feminino,Centro-Oeste,Conservador,3961.16,141,Ação Beta,Ações,0.63,Médio,2025-11-20,39132.3,-21.05,Ativo,30894.95
39,64,Masculino,Norte,Agressivo,4979.39,112,Cripto Delta,Ações,1.34,Médio,2024-04-14,11584.93,50.99,Resgatado,17492.09
40,68,Outro,Nordeste,Moderado,4701.58,183,Renda Fixa Gama,Cripto,2.47,Alto,2024-03-03,20399.7,-2.21,Resgatado,19948.87
41,61,Feminino,Nordeste,Moderado,4154.71,178,Renda Fixa Gama,Renda Fixa,0.8,Baixo,2024-07-19,45798.23,-9.75,Ativo,41332.9
42,72,Feminino,Centro-Oeste,Conservador,5674.63,133,FII Alpha,Cripto,1.58,Alto,2024-06-30,18122.12,-7.65,Resgatado,16735.78
43,69,Masculino,Sul,moderado,4785.42,199,Cripto Delta,Renda Fixa,1.77,Alto,2022-08-29,30433.64,76.93,Ativo,53846.24
44,74,M,Centro-Oeste,moderado,5003.64,152,Cripto Delta,FII,0.61,Alto,2023-09-16,21975.32,42.5,Ativo,31314.83
45,20,Feminino,Norte,Agressivo,6671.16,145,Renda Fixa Gama,FII,1.51,Médio,2025-08-17,43913.18,77.56,Ativo,77972.24
46,54,M,Sul,Conservador,8495.22,156,Cripto Delta,Renda Fixa,0.85,Alto,2024-10-13,21495.31,63.19,Resgatado,35078.2
47,68,M,Norte,moderado,7911.45,160,Ação Beta,Renda Fixa,2.15,Alto,2025-03-10,18281.77,71.74,Resgatado,31397.11
48,24,F,Centro-Oeste,Moderado,6441.02,188,Renda Fixa Gama,Ações,1.82,Alto,2025-03-21,9076.99,31.04,Ativo,11894.49
49,38,Masculino,Sul,Conservador,10098.45,155,Renda Fixa Gama,Renda Fixa,2.08,Médio,2024-10-17,17787.49,8.36,Ativo,19274.52
50,26,M,Centro-Oeste,Moderado,7647.52,128,Cripto Delta,Ações,0.58,Alto,2024-09-12,33642.94,51.24,Resgatado,50881.58
51,56,Masculino,Sudeste,Conservador,8011.25,191,Renda Fixa Gama,Renda Fixa,0.18,Alto,2024-06-24,9202.64,-28.01,Resgatado,6624.98
52,35,F,Nordeste,Agressivo,5592.38,113,Cripto Delta,Ações,2.14,Baixo,2024-02-26,35416.02,40.81,Resgatado,49869.3
53,21,Masculino,Sul,moderado,5033.46,167,Cripto Delta,Cripto,1.03,Alto,2022-08-02,1027.03,75.21,Resgatado,1799.46
54,42,Feminino,Nordeste,moderado,6940.08,170,Cripto Delta,Ações,0.53,Médio,2024-03-02,18664.17,63.04,Resgatado,30430.06
55,31,M,Sudeste,moderado,8265.54,112,Ação Beta,Cripto,0.32,Baixo,2025-04-27,23563.77,-9.16,Ativo,21405.33
56,67,Masculino,Sul,Moderado,6436.11,116,Cripto Delta,Ações,1.34,Alto,2022-05-13,5257.96,-15.92,Resgatado,4420.89
57,26,Outro,Nordeste,moderado,4417.1,128,Cripto Delta,FII,0.46,Médio,2022-03-21,34362.82,60.91,Resgatado,55293.21
58,43,Masculino,Nordeste,Conservador,2791.0,180,FII Alpha,Ações,1.46,Baixo,2022-04-11,5586.47,-24.13,Ativo,4238.45
59,70,M,Sul,Moderado,2046.18,199,FII Alpha,Renda Fixa,1.85,Médio,2025-10-13,4953.11,79.48,Ativo,8889.84
60,19,F,Nordeste,Agressivo,6106.37,182,Ação Beta,Cripto,1.38,Baixo,2024-12-23,18712.69,21.41,Ativo,22719.08
61,37,F,Nordeste,Moderado,8039.91,189,Ação Beta,Renda Fixa,2.27,Médio,2023-09-27,37045.77,72.04,Resgatado,63733.54
62,45,M,Sul,Agressivo,242.35,172,Cripto Delta,Renda Fixa,0.47,Baixo,2025-10-20,48201.91,59.24,Ativo,76756.72
63,64,Feminino,Nordeste,Moderado,4481.32,101,FII Alpha,FII,1.29,Alto,2025-02-06,38912.88,46.71,Resgatado,57089.09
64,24,Feminino,Nordeste,moderado,4073.43,161,Ação Beta,Ações,0.49,Alto,2022-07-06,23567.23,-7.37,Ativo,21830.33
65,61,F,Norte,Agressivo,6948.17,119,Renda Fixa Gama,FII,2.2,Alto,2025-11-29,13993.57,-20.58,Ativo,11113.69
66,25,F,Norte,moderado,4332.98,186,Renda Fixa Gama,Ações,2.34,Alto,2025-10-07,15419.98,42.12,Ativo,21914.88
67,64,M,Sudeste,Moderado,2923.86,181,Cripto Delta,Renda Fixa,1.06,Baixo,2024-09-11,14543.08,-9.13,Ativo,13215.3
68,52,Feminino,Norte,Agressivo,4477.53,155,FII Alpha,Ações,0.83,Baixo,2022-07-25,14276.98,61.16,Resgatado,23008.78
69,31,F,Norte,Conservador,4085.75,189,Renda Fixa Gama,FII,0.77,Baixo,2024-06-01,3920.25,-22.62,Ativo,3033.49
70,34,Feminino,Sudeste,Conservador,6032.47,151,FII Alpha,Cripto,2.16,Baixo,2022-02-16,11412.07,27.62,Ativo,14564.08
71,53,F,Nordeste,Moderado,5463.02,124,Ação Beta,FII,1.74,Baixo,2024-03-31,5842.41,16.43,Resgatado,6802.32
72,67,Masculino,Nordeste,Agressivo,7106.2,161,FII Alpha,FII,2.21,Baixo,2022-04-09,865.0,71.73,Ativo,1485.46
73,57,Outro,Norte,Conservador,5984.37,116,Cripto Delta,FII,0.38,Alto,2023-05-20,14637.28,68.84,Resgatado,24713.58
74,21,Masculino,Sudeste,moderado,8537.42,138,FII Alpha,Cripto,1.24,Baixo,2024-09-16,17933.47,49.23,Ativo,26762.12
75,19,F,Nordeste,moderado,4880.15,109,Renda Fixa Gama,Renda Fixa,1.72,Médio,2025-06-11,46407.95,53.08,Resgatado,71041.29
76,23,Outro,Centro-Oeste,Moderado,7550.26,158,FII Alpha,FII,2.25,Médio,2023-02-27,49743.67,47.72,Ativo,73481.35
77,71,Outro,Sul,moderado,6794.63,124,FII Alpha,FII,1.02,Médio,2024-07-15,29182.16,44.23,Resgatado,42089.43
78,59,F,Sul,moderado,5261.51,127,FII Alpha,FII,0.85,Baixo,2024-09-03,45098.68,79.66,Ativo,81024.29
79,21,F,Sul,moderado,7719.96,189,Ação Beta,Cripto,2.29,Alto,2022-08-05,31102.19,50.97,Resgatado,46954.98
80,71,Feminino,Norte,Conservador,3994.44,175,Cripto Delta,Cripto,0.21,Médio,2022-06-23,25130.11,74.01,Resgatado,43728.9
81,46,F,Sul,Agressivo,9099.59,160,Renda Fixa Gama,Cripto,1.25,Baixo,2023-03-17,2612.82,18.09,Ativo,3085.48
82,35,M,Sul,Moderado,4059.07,157,Renda Fixa Gama,Renda Fixa,1.2,Baixo,2022-04-16,2707.51,79.79,Resgatado,4867.83
83,43,F,Centro-Oeste,Agressivo,2648.38,143,FII Alpha,Ações,0.45,Alto,2023-02-15,2024.47,37.59,Ativo,2785.47
84,61,M,Nordeste,Agressivo,2453.15,182,FII Alpha,Renda Fixa,1.05,Baixo,2025-12-07,7928.98,69.54,Resgatado,13442.79
85,51,F,Centro-Oeste,Agressivo,6227.73,122,Ação Beta,Renda Fixa,1.83,Baixo,2022-04-23,4306.65,-20.0,Resgatado,3445.32
86,27,Feminino,Norte,Conservador,4589.59,177,Cripto Delta,Renda Fixa,0.98,Médio,2022-05-26,10136.59,37.16,Resgatado,13903.35
87,53,M,Sul,moderado,6453.1,116,Renda Fixa Gama,Ações,0.84,Médio,2023-10-06,26200.89,79.21,Ativo,46954.61
88,31,Masculino,Nordeste,Moderado,3243.3,178,Cripto Delta,FII,1.98,Médio,2025-01-12,25408.44,-22.68,Ativo,19645.81
89,48,M,Sul,Agressivo,7217.46,184,Renda Fixa Gama,Cripto,2.47,Médio,2023-06-20,17537.05,74.18,Resgatado,30546.03
90,65,Feminino,Sul,moderado,6460.17,137,FII Alpha,Renda Fixa,1.97,Médio,2022-10-25,33465.77,-13.95,Ativo,28797.3
91,32,M,Norte,Conservador,4856.28,129,Ação Beta,Cripto,2.13,Baixo,2022-07-07,19900.22,79.57,Resgatado,35734.83
92,25,F,Sul,Agressivo,7562.13,118,Ação Beta,Cripto,2.35,Baixo,2022-04-21,11401.89,1.78,Ativo,11604.84
93,31,F,Sudeste,moderado,7437.65,131,FII Alpha,Cripto,2.02,Alto,2022-02-25,34761.58,57.3,Ativo,54679.97
94,40,Feminino,Nordeste,Conservador,6230.19,192,FII Alpha,FII,2.45,Médio,2023-08-04,49020.1,-26.95,Ativo,35809.18
95,74,Outro,Nordeste,moderado,8218.21,185,FII Alpha,Cripto,1.89,Médio,2023-06-14,40629.91,1.55,Ativo,41259.67
96,57,F,Sudeste,Moderado,8776.25,119,Cripto Delta,Cripto,1.69,Médio,2023-03-25,20995.55,36.35,Ativo,28627.43
97,38,Masculino,Norte,moderado,4028.61,163,FII Alpha,FII,1.76,Médio,2025-11-18,19095.58,-5.0,Ativo,18140.8
98,33,Feminino,Sul,moderado,8831.14,135,Cripto Delta,Cripto,2.26,Médio,2025-04-01,2413.11,53.68,Ativo,3708.47
99,62,M,Sul,Moderado,3752.33,164,FII Alpha,Ações,1.74,Baixo,2022-08-07,33025.1,44.32,Ativo,47661.82
100,35,M,Nordeste,Moderado,7928.85,182,Ação Beta,Ações,1.93,Baixo,2024-06-10,11519.89,,Ativo,20620.6
101,64,Masculino,Norte,moderado,8368.02,142,Cripto Delta,Renda Fixa,0.62,Médio,2022-11-27,34334.14,34.28,Ativo,46103.88
102,70,F,Norte,Moderado,5563.37,125,Ação Beta,Ações,2.29,Baixo,2025-07-31,38128.38,54.49,Ativo,58904.53
103,41,Feminino,Norte,moderado,5866.84,106,FII Alpha,Ações,1.17,Médio,2025-03-08,44049.91,-21.8,Ativo,34447.03
104,43,Masculino,Sul,Agressivo,5252.43,133,FII Alpha,Ações,0.49,Alto,2023-05-19,27638.38,-25.27,Ativo,20654.16
105,42,F,Norte,moderado,3938.98,135,Renda Fixa Gama,FII,2.02,Médio,2025-10-11,41583.89,33.98,Ativo,55714.1
106,62,Feminino,Sudeste,Conservador,4405.54,105,Cripto Delta,Ações,0.96,Alto,2022-10-08,36297.67,78.39,Resgatado,64751.41
107,58,M,Centro-Oeste,Moderado,7241.55,136,Cripto Delta,Cripto,0.54,Alto,2024-04-23,17972.57,-0.43,Resgatado,17895.29
108,46,Feminino,Norte,Agressivo,8139.24,161,Cripto Delta,Renda Fixa,0.72,Médio,2022-01-12,5768.23,-29.81,Resgatado,4048.72
109,32,Outro,Centro-Oeste,Moderado,5963.91,185,Cripto Delta,Cripto,0.18,Médio,2023-07-19,12487.41,7.5,Ativo,13423.97
110,62,Feminino,Sul,Moderado,3474.72,172,Ação Beta,Cripto,0.32,Médio,2025-01-24,42306.6,51.3,Resgatado,64009.89
111,18,Outro,Norte,Moderado,3134.39,159,Cripto Delta,Ações,1.52,Médio,2022-08-20,26953.88,58.25,Ativo,42654.52
112,42,Feminino,Nordeste,Conservador,5734.71,192,Ação Beta,Renda Fixa,2.18,Baixo,2025-02-09,33445.35,55.92,Resgatado,52147.99
113,24,Outro,Sul,Conservador,4681.01,163,FII Alpha,Cripto,1.18,Baixo,2024-12-06,40400.67,-21.1,Ativo,31876.13
114,26,M,Sudeste,moderado,8965.53,149,Ação Beta,Renda Fixa,1.6,Alto,2022-09-11,33518.62,54.79,Resgatado,51883.47
115,41,F,Sudeste,Conservador,4244.28,151,Cripto Delta,Ações,2.04,Médio,2025-12-17,42874.7,-21.02,Ativo,33862.44
116,18,Outro,Centro-Oeste,Moderado,7493.45,116,Ação Beta,Cripto,0.96,Baixo,2022-10-15,4774.8,78.59,Resgatado,8527.32
117,61,Outro,Centro-Oeste,Agressivo,4448.46,159,Cripto Delta,FII,1.67,Baixo,2025-08-22,45230.52,10.75,Resgatado,50092.8
118,25,M,Nordeste,Agressivo,5291.25,176,Ação Beta,Cripto,0.94,Baixo,2024-10-04,40724.78,46.28,Resgatado,59572.21
119,41,Outro,Nordeste,Agressivo,6430.36,180,Renda Fixa Gama,Cripto,1.64,Alto,2023-01-09,45198.87,23.3,Resgatado,55730.21
120,28,Masculino,Sudeste,Moderado,7298.96,153,Cripto Delta,Renda Fixa,0.62,Baixo,2022-07-14,36677.47,-3.53,Resgatado,35382.76
121,68,M,Norte,Conservador,7056.4,109,Ação Beta,Renda Fixa,2.45,Médio,2024-11-14,14082.48,37.19,Ativo,19319.75
122,34,Masculino,Sudeste,Agressivo,4600.3,124,Cripto Delta,Renda Fixa,0.28,Baixo,2024-10-26,6137.03,-28.25,Ativo,4403.32
123,25,M,Sudeste,Moderado,6250.87,117,FII Alpha,Ações,1.31,Médio,2024-05-14,6917.09,25.57,Resgatado,8685.79
124,52,Outro,Nordeste,Moderado,5063.03,163,Ação Beta,Renda Fixa,0.79,Baixo,2022-05-23,25195.79,-25.71,Resgatado,18717.95
125,52,Masculino,Centro-Oeste,Agressivo,2421.82,178,Ação Beta,Ações,1.54,Médio,2023-12-04,19851.35,32.46,Ativo,26295.1
126,50,Outro,Nordeste,Agressivo,6572.32,158,Renda Fixa Gama,Renda Fixa,1.13,Alto,2022-06-20,32883.76,20.3,Resgatado,39559.16
127,22,M,Nordeste,moderado,9156.76,126,Cripto Delta,FII,0.84,Baixo,2023-05-05,25412.24,68.42,Ativo,42799.29
128,59,Outro,Nordeste,moderado,9860.46,157,Ação Beta,Renda Fixa,0.7,Baixo,2022-04-06,6703.34,76.26,Resgatado,11815.31
129,56,Masculino,Sudeste,Moderado,6793.46,160,Renda Fixa Gama,Ações,0.54,Alto,2024-09-10,611.15,41.62,Resgatado,865.51
130,58,Masculino,Norte,moderado,6629.81,182,Renda Fixa Gama,Ações,1.98,Alto,2025-05-03,6851.5,-9.63,Resgatado,6191.7
131,45,Outro,Sudeste,moderado,-548.33,178,Renda Fixa Gama,Cripto,0.63,Alto,2022-09-17,7763.58,27.59,Resgatado,9905.55
132,24,Feminino,Sul,Agressivo,12818.32,170,Cripto Delta,Renda Fixa,1.96,Médio,2025-06-13,36135.97,-29.82,Resgatado,25360.22
133,26,M,Nordeste,moderado,9577.42,142,Cripto Delta,Ações,1.26,Médio,2024-12-18,14621.41,54.49,Ativo,22588.62
134,25,M,Nordeste,Moderado,7897.84,179,Ação Beta,Cripto,0.27,Baixo,2022-02-21,5135.03,-25.47,Resgatado,3827.14
135,29,Outro,Sul,Agressivo,6179.99,187,Cripto Delta,FII,0.5,Médio,2024-02-26,37891.26,58.83,Resgatado,60182.69
136,51,Feminino,Nordeste,moderado,422.89,186,Cripto Delta,Ações,2.24,Baixo,2022-05-02,47054.06,-0.89,Resgatado,46635.28
137,50,Masculino,Nordeste,moderado,6455.76,110,FII Alpha,Renda Fixa,1.55,Alto,2025-05-25,5473.87,-2.5,Ativo,5337.02
138,65,F,Nordeste,moderado,6079.42,187,Cripto Delta,FII,0.54,Baixo,2023-11-26,48171.42,-20.14,Resgatado,38469.7
139,72,F,Sul,Conservador,2476.86,104,FII Alpha,Ações,1.79,Alto,2022-03-30,47538.11,45.43,Resgatado,69134.67
140,40,Outro,Sudeste,moderado,7120.4,157,Ação Beta,Renda Fixa,2.08,Alto,2024-08-27,26394.32,10.26,Resgatado,29102.38
141,41,Feminino,Nordeste,moderado,9091.53,138,Renda Fixa Gama,Ações,0.89,Baixo,2022-02-07,15140.39,-20.11,Resgatado,12095.66
142,54,Feminino,Norte,Moderado,6851.41,147,FII Alpha,Renda Fixa,1.44,Médio,2022-03-25,7335.56,5.31,Ativo,7725.08
143,52,M,Sul,moderado,6843.23,193,Ação Beta,Cripto,0.8,Médio,2025-02-05,41280.75,71.43,Resgatado,70767.59
144,61,Masculino,Centro-Oeste,Conservador,7003.73,179,FII Alpha,Ações,0.29,Baixo,2024-10-06,30434.63,-26.16,Ativo,22472.93
145,57,Feminino,Sul,Agressivo,5193.07,119,Cripto Delta,Ações,1.06,Médio,2023-12-10,32739.28,43.6,Resgatado,47013.61
146,39,F,Sudeste,moderado,7895.84,192,Ação Beta,FII,1.9,Alto,2024-01-09,43113.4,25.11,Resgatado,53939.17
147,44,Masculino,Sul,moderado,9809.49,180,Renda Fixa Gama,Cripto,1.2,Alto,2024-10-23,22475.24,35.74,Ativo,30507.89
148,52,Masculino,Centro-Oeste,Moderado,6103.15,118,FII Alpha,FII,1.07,Médio,2023-11-03,18721.37,13.08,Resgatado,21170.13
149,18,Outro,Norte,moderado,4111.57,159,Cripto Delta,Ações,0.98,Médio,2025-08-08,38234.08,22.97,Ativo,47016.45
150,52,Feminino,Centro-Oeste,moderado,2536.17,125,Ação Beta,Cripto,1.2,Alto,2022-01-30,15212.4,53.52,Ativo,23354.08
151,54,Outro,Sul,moderado,7252.37,178,Cripto Delta,Renda Fixa,0.86,Baixo,2023-09-20,16732.33,23.15,Ativo,20605.86
152,64,Feminino,Centro-Oeste,moderado,7535.55,124,Ação Beta,Cripto,1.57,Médio,2025-04-05,19364.02,11.39,Ativo,21569.58
153,31,M,Sul,Agressivo,6909.86,114,FII Alpha,Cripto,0.25,Médio,2022-04-03,42889.72,0.33,Resgatado,43031.26
154,20,Outro,Norte,Moderado,5410.94,183,Ação Beta,Renda Fixa,2.04,Baixo,2022-08-06,39066.21,19.56,Ativo,46707.56
155,18,Outro,Norte,Agressivo,6692.82,193,FII Alpha,Ações,0.52,Alto,2025-01-17,14925.18,33.33,Resgatado,19899.74
156,22,F,Sudeste,Conservador,4660.97,120,Ação Beta,Ações,1.62,Baixo,2025-04-26,7608.81,11.19,Resgatado,8460.24
157,43,Outro,Norte,moderado,4223.03,146,Cripto Delta,FII,1.18,Baixo,2024-08-29,19943.26,69.11,Resgatado,33726.05
158,72,Feminino,Nordeste,Conservador,3509.25,134,Cripto Delta,Ações,1.96,Baixo,2024-06-04,31415.31,79.55,Ativo,56406.19
159,31,F,Centro-Oeste,Agressivo,3535.28,143,FII Alpha,Ações,2.08,Médio,2023-11-29,33974.22,-7.55,Ativo,31409.17
160,56,Outro,Centro-Oeste,Conservador,7326.1,105,Renda Fixa Gama,Renda Fixa,0.59,Alto,2022-10-09,10421.29,40.87,Ativo,14680.47
161,44,Outro,Sul,moderado,5326.83,174,FII Alpha,FII,1.73,Alto,2024-09-01,12845.39,-7.32,Ativo,11905.11
162,26,M,Norte,Conservador,4296.53,122,Cripto Delta,Cripto,0.56,Médio,2023-01-24,46540.01,29.52,Ativo,60278.62
163,32,Outro,Sudeste,Agressivo,2595.22,138,Ação Beta,FII,0.4,Baixo,2024-07-17,19560.46,13.26,Ativo,22154.18
164,32,Masculino,Sudeste,moderado,7677.65,172,Renda Fixa Gama,Ações,2.33,Médio,2024-05-22,16050.06,-3.0,Ativo,15568.56
165,43,F,Sudeste,Moderado,8674.36,117,Cripto Delta,FII,0.49,Baixo,2022-05-17,34937.66,7.63,Resgatado,37603.4
166,59,Masculino,Nordeste,Agressivo,3439.65,199,Renda Fixa Gama,Cripto,0.65,Baixo,2022-10-15,23659.92,-16.43,Resgatado,19772.6
167,30,F,Norte,moderado,5688.36,139,FII Alpha,Renda Fixa,0.41,Baixo,2025-09-18,12716.7,-21.26,Resgatado,10013.13
168,68,M,Sudeste,Moderado,3668.59,135,Cripto Delta,Ações,1.23,Baixo,2023-09-11,20760.21,19.51,Resgatado,24810.53
169,49,Outro,Nordeste,Conservador,5645.54,127,FII Alpha,Ações,2.31,Médio,2023-02-16,7637.67,59.68,Ativo,12195.83
170,56,Outro,Centro-Oeste,Conservador,7519.77,163,Cripto Delta,Cripto,0.73,Baixo,2023-02-11,14338.4,45.12,Ativo,20807.89
171,66,Outro,Sul,Conservador,10045.84,182,Cripto Delta,Renda Fixa,1.4,Médio,2023-08-23,21213.9,35.49,Ativo,28742.71
172,69,F,Norte,moderado,4882.42,193,FII Alpha,FII,1.09,Baixo,2025-02-22,26140.7,16.26,Resgatado,30391.18
173,49,Outro,Norte,Conservador,7749.78,157,Cripto Delta,Cripto,0.91,Médio,2025-05-05,37212.04,21.54,Resgatado,45227.51
174,21,Masculino,Centro-Oeste,Conservador,7810.82,137,Renda Fixa Gama,FII,1.47,Alto,2023-09-14,19554.71,-27.64,Resgatado,14149.79
175,47,Outro,Norte,Moderado,5622.17,178,Renda Fixa Gama,Renda Fixa,1.44,Médio,2024-12-07,27512.38,73.42,Resgatado,47711.97
176,54,M,Norte,Moderado,8900.25,143,FII Alpha,Renda Fixa,0.96,Alto,2025-09-07,47574.81,4.19,Resgatado,49568.19
177,40,Masculino,Norte,Moderado,5180.71,175,Ação Beta,Renda Fixa,2.14,Médio,2025-04-28,41006.66,70.59,Resgatado,69953.26
178,56,Outro,Norte,moderado,7088.5,101,Renda Fixa Gama,Renda Fixa,0.23,Alto,2022-03-10,12231.94,48.79,Resgatado,18199.9
179,62,Outro,Nordeste,Agressivo,4565.94,172,Cripto Delta,FII,0.3,Médio,2023-11-27,11067.42,31.79,Ativo,14585.75
180,32,Feminino,Nordeste,Conservador,7328.79,134,FII Alpha,Cripto,2.48,Baixo,2025-09-15,33303.48,18.97,Ativo,39621.15
181,60,F,Sul,Conservador,7078.03,100,Ação Beta,Cripto,1.89,Alto,2023-05-10,29968.83,5.53,Resgatado,31626.11
182,46,Masculino,Norte,moderado,8968.4,145,FII Alpha,FII,2.03,Baixo,2024-06-02,27570.21,40.21,Resgatado,38656.19
183,53,Feminino,Centro-Oeste,Conservador,10588.93,159,Renda Fixa Gama,Renda Fixa,1.55,Alto,2022-10-19,8131.45,76.72,Resgatado,14369.9
184,30,M,Sudeste,moderado,8289.56,162,Cripto Delta,Renda Fixa,1.11,Baixo,2024-10-17,18449.57,58.48,Resgatado,29238.88
185,49,F,Sul,moderado,7676.65,194,Renda Fixa Gama,Ações,1.61,Baixo,2024-01-03,38088.84,13.02,Resgatado,43048.01
186,24,Masculino,Sudeste,moderado,5023.3,191,FII Alpha,Ações,0.32,Médio,2023-02-20,36317.61,23.04,Ativo,44685.19
187,68,Outro,Sudeste,Agressivo,335.83,144,Cripto Delta,FII,1.92,Baixo,2025-05-27,8676.1,21.53,Ativo,10544.06
188,39,Masculino,Norte,moderado,9245.76,156,Ação Beta,Cripto,1.4,Alto,2024-06-15,21629.56,-1.45,Resgatado,21315.93
